epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3505,0.77802,1.02358,0.94246,0.99738,0.9949,0.99423,0.83188,0.63629,0.43804,0.85668,0.00331081,0.00331081,0.0702027
2,51.3552,0.7477,0.53691,0.90878,0.99432,0.9949,0.99485,0.7704,0.81949,0.60705,0.90669,0.00657837,0.00657837,0.0401369
3,73.7027,0.80493,0.71388,0.93757,0.99744,0.99415,0.99497,0.77417,0.74836,0.65955,0.92646,0.00977992,0.00977992,0.0100051
4,96.4746,0.8413,0.64567,0.95469,0.98984,0.99439,0.99461,0.79832,0.7072,0.53307,0.92336,0.009703,0.009703,0.009703
5,118.455,0.86027,0.56648,0.97825,0.98852,0.98469,0.99401,0.74898,0.86868,0.56785,0.98023,0.009604,0.009604,0.009604
6,140.499,0.83732,0.55662,0.97548,0.99594,0.99745,0.99497,0.79987,0.73975,0.5041,0.96282,0.009505,0.009505,0.009505
7,162.467,0.77719,0.51583,0.95416,0.99463,0.98214,0.99455,0.81071,0.68054,0.48239,0.92297,0.009406,0.009406,0.009406
8,184.498,0.77978,0.51473,0.95091,0.98337,0.98214,0.99396,0.8007,0.76773,0.55871,0.96344,0.009307,0.009307,0.009307
9,207.9,0.75308,0.49463,0.94906,0.99482,0.98057,0.99437,0.81182,0.67856,0.48752,0.94549,0.009208,0.009208,0.009208
10,231.563,0.73939,0.48766,0.94313,0.99505,0.97704,0.99433,0.80532,0.68387,0.44135,0.94169,0.009109,0.009109,0.009109
11,255.864,0.7337,0.47115,0.9329,0.99743,0.98816,0.99485,0.83027,0.62453,0.43625,0.90455,0.00901,0.00901,0.00901
12,279.198,0.73091,0.46577,0.94025,0.99885,0.97959,0.99462,0.83656,0.62644,0.44463,0.91738,0.008911,0.008911,0.008911
13,303.071,0.72169,0.44992,0.94327,0.98482,0.99282,0.99399,0.82957,0.67204,0.45575,0.96148,0.008812,0.008812,0.008812
14,327.112,0.69697,0.4327,0.93381,0.98157,0.99745,0.9942,0.843,0.61284,0.41134,0.93529,0.008713,0.008713,0.008713
15,351.298,0.69738,0.43697,0.94018,0.99567,0.9949,0.99485,0.83868,0.60158,0.39931,0.92682,0.008614,0.008614,0.008614
16,375.43,0.7001,0.436,0.93897,0.98767,0.99235,0.99479,0.83263,0.63642,0.41647,0.91294,0.008515,0.008515,0.008515
17,399.399,0.69221,0.42111,0.93949,0.99501,0.99745,0.99497,0.83841,0.63109,0.42048,0.93042,0.008416,0.008416,0.008416
18,423.365,0.68971,0.42276,0.93547,0.99492,0.99946,0.99495,0.84143,0.63648,0.39348,0.94799,0.008317,0.008317,0.008317
19,447.181,0.6793,0.41377,0.937,0.97964,0.98214,0.99048,0.828,0.64709,0.42106,0.93399,0.008218,0.008218,0.008218
20,470.011,0.67884,0.41541,0.92052,0.99066,0.9949,0.99464,0.84014,0.59545,0.38149,0.91081,0.008119,0.008119,0.008119
21,492.348,0.6496,0.39926,0.9278,0.99173,0.9949,0.99495,0.84958,0.58503,0.36986,0.91413,0.00802,0.00802,0.00802
22,515.992,0.67215,0.40843,0.92973,0.99489,0.99398,0.995,0.85514,0.57353,0.36777,0.90887,0.007921,0.007921,0.007921
23,540.614,0.66248,0.39957,0.92523,0.9974,0.97861,0.99455,0.85548,0.57948,0.37813,0.9468,0.007822,0.007822,0.007822
24,564.986,0.65634,0.39259,0.92777,0.99745,0.99959,0.99497,0.85662,0.58294,0.34294,0.93858,0.007723,0.007723,0.007723
25,590.4,0.64383,0.3933,0.91353,0.98984,0.99392,0.99477,0.82973,0.66162,0.38889,0.94412,0.007624,0.007624,0.007624
26,614.975,0.63302,0.38597,0.91353,0.99188,0.99745,0.99472,0.86186,0.56986,0.35844,0.92984,0.007525,0.007525,0.007525
27,640.096,0.64415,0.382,0.91761,1,0.99991,0.995,0.85334,0.56866,0.33918,0.91991,0.007426,0.007426,0.007426
28,664.733,0.62233,0.3826,0.91323,0.99562,0.99745,0.995,0.85849,0.56016,0.35001,0.91532,0.007327,0.007327,0.007327
29,688.999,0.63073,0.38195,0.91904,0.9932,0.99745,0.99497,0.86454,0.5769,0.3652,0.90824,0.007228,0.007228,0.007228
30,713.494,0.64495,0.3808,0.91523,0.99733,0.99745,0.99497,0.86781,0.53874,0.33599,0.90292,0.007129,0.007129,0.007129
31,738.055,0.61562,0.3632,0.90503,0.99742,0.98627,0.99487,0.8682,0.54342,0.33529,0.90532,0.00703,0.00703,0.00703
32,762.167,0.63358,0.3686,0.91873,0.99594,0.9949,0.995,0.85516,0.581,0.32378,0.91142,0.006931,0.006931,0.006931
33,786.398,0.63267,0.36868,0.92021,0.99911,1,0.995,0.87364,0.54803,0.3294,0.89602,0.006832,0.006832,0.006832
34,811.039,0.61299,0.35893,0.90722,0.9941,1,0.995,0.87195,0.55765,0.34243,0.89948,0.006733,0.006733,0.006733
35,835.416,0.61468,0.36193,0.911,0.993,1,0.99336,0.85271,0.58147,0.35299,0.90852,0.006634,0.006634,0.006634
36,859.397,0.61542,0.36072,0.90998,0.9936,0.99745,0.99495,0.86157,0.55024,0.3389,0.88947,0.006535,0.006535,0.006535
37,883.415,0.60941,0.35693,0.90587,0.99741,0.9838,0.99495,0.87518,0.53745,0.33722,0.90021,0.006436,0.006436,0.006436
38,907.513,0.61588,0.35061,0.91109,0.99165,0.9949,0.9949,0.87657,0.53554,0.32792,0.8963,0.006337,0.006337,0.006337
39,932.047,0.60971,0.34494,0.91164,0.99862,0.99745,0.995,0.86733,0.54672,0.31894,0.89981,0.006238,0.006238,0.006238
40,955.907,0.58174,0.34602,0.89821,0.99488,0.99232,0.9949,0.87173,0.54019,0.33647,0.89958,0.006139,0.006139,0.006139
41,980.164,0.59622,0.34152,0.89246,0.99843,1,0.995,0.88148,0.51805,0.30245,0.88971,0.00604,0.00604,0.00604
42,1004.66,0.59208,0.33705,0.90284,0.99708,1,0.99495,0.87604,0.51745,0.31312,0.89703,0.005941,0.005941,0.005941
43,1028.51,0.58747,0.3472,0.89342,0.99952,1,0.995,0.8795,0.51911,0.31166,0.88223,0.005842,0.005842,0.005842
44,1052.87,0.58977,0.33818,0.89634,0.99943,1,0.995,0.87119,0.54025,0.30171,0.90388,0.005743,0.005743,0.005743
45,1077.12,0.58223,0.33389,0.89859,0.99939,1,0.995,0.87504,0.52301,0.29413,0.88316,0.005644,0.005644,0.005644
46,1101.68,0.5787,0.33205,0.8973,0.99863,1,0.995,0.87572,0.52353,0.29096,0.88375,0.005545,0.005545,0.005545
