epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7356,0.91252,0.88029,1.03966,0.00314,0.17092,0.00086,0.00022,3.94165,229.969,10.2989,0.000664414,0.000664414,0.000664414
2,101.587,0.98152,0.7448,1.08978,0.95295,0.79082,0.94749,0.71877,0.93143,0.72087,1.15444,0.0013223,0.0013223,0.0013223
3,151.749,0.96819,0.7155,1.06723,0.9709,0.93611,0.97786,0.75949,0.87587,0.57802,1.13838,0.00197138,0.00197138,0.00197138
4,202.101,0.90533,0.64051,1.04899,0.97147,0.94898,0.9886,0.7871,0.76479,0.52087,1.04504,0.0019604,0.0019604,0.0019604
5,250.561,0.82257,0.58452,1.02422,0.96292,0.93878,0.98353,0.80439,0.7359,0.57694,1.03183,0.0019472,0.0019472,0.0019472
6,306.236,0.84754,0.61364,1.03196,0.96866,0.94629,0.97648,0.77568,0.81901,0.51361,1.1049,0.001934,0.001934,0.001934
7,361.189,0.8089,0.56078,1.01166,0.98716,0.98027,0.99404,0.80861,0.7642,0.46995,1.03321,0.0019208,0.0019208,0.0019208
8,412.255,0.81502,0.5448,1.00917,0.97392,0.97194,0.99235,0.80779,0.70481,0.43113,1.02871,0.0019076,0.0019076,0.0019076
9,461.607,0.77826,0.51202,0.99459,0.97118,0.89796,0.9581,0.78491,0.74795,0.48408,1.03834,0.0018944,0.0018944,0.0018944
10,511.355,0.77682,0.52175,0.99313,0.98582,0.96429,0.99303,0.80043,0.74673,0.42007,1.0091,0.0018812,0.0018812,0.0018812
11,561.031,0.7522,0.49814,0.97922,0.99357,0.95918,0.9933,0.81976,0.70148,0.40283,0.98565,0.001868,0.001868,0.001868
12,610.547,0.74274,0.48981,0.98942,0.96986,0.98494,0.99303,0.83013,0.65965,0.40547,0.99272,0.0018548,0.0018548,0.0018548
13,660.405,0.78201,0.4842,0.98257,0.99601,0.96173,0.99329,0.8097,0.70689,0.39155,0.99093,0.0018416,0.0018416,0.0018416
14,710.049,0.74522,0.46954,0.97194,0.98706,0.97275,0.99174,0.81839,0.6884,0.37289,0.98233,0.0018284,0.0018284,0.0018284
15,764.992,0.72428,0.44973,0.95707,0.97942,0.97124,0.99351,0.83908,0.61634,0.35796,0.96725,0.0018152,0.0018152,0.0018152
16,822.248,0.71778,0.44378,0.96488,0.97582,0.98214,0.99328,0.84217,0.62472,0.37046,0.95274,0.001802,0.001802,0.001802
17,874.205,0.69737,0.44074,0.96213,0.98968,0.97901,0.99435,0.84479,0.61134,0.35998,0.94479,0.0017888,0.0017888,0.0017888
18,925.199,0.68857,0.43203,0.95428,0.96974,0.97959,0.99311,0.83184,0.62928,0.38274,0.97877,0.0017756,0.0017756,0.0017756
19,976.017,0.6732,0.43065,0.95085,0.99222,0.9756,0.99437,0.84624,0.61632,0.34929,0.94349,0.0017624,0.0017624,0.0017624
20,1026.46,0.68011,0.42119,0.95147,0.9926,0.99235,0.99474,0.85142,0.60519,0.35144,0.93889,0.0017492,0.0017492,0.0017492
21,1076.57,0.66767,0.42023,0.9519,0.99582,0.97449,0.99465,0.85092,0.6134,0.34176,0.94475,0.001736,0.001736,0.001736
22,1126.42,0.67344,0.40848,0.94724,0.99792,0.98469,0.99487,0.84508,0.59458,0.34001,0.94483,0.0017228,0.0017228,0.0017228
23,1176.35,0.66122,0.4089,0.94493,0.96632,0.9898,0.99328,0.84991,0.59486,0.36441,0.9394,0.0017096,0.0017096,0.0017096
24,1226.56,0.67496,0.41506,0.93769,0.96903,0.9949,0.99369,0.83158,0.61528,0.35592,0.95002,0.0016964,0.0016964,0.0016964
25,1276.27,0.65816,0.40275,0.93857,0.97977,0.98815,0.99413,0.85327,0.60243,0.34017,0.94677,0.0016832,0.0016832,0.0016832
26,1326.43,0.63981,0.39556,0.93244,0.98673,0.99745,0.99425,0.85964,0.59956,0.34852,0.9501,0.00167,0.00167,0.00167
27,1376.63,0.63854,0.39549,0.93297,0.98724,0.98679,0.99462,0.86128,0.58243,0.33982,0.93853,0.0016568,0.0016568,0.0016568
